,name,price
0,LeBron 18 Low « Summer Refresh »,159.99
1,LeBron 18,189.99
2,Nike Air Max 90,149.99
3,Nike Air Max 95,179.99
4,PG 5,119.99
5,Nike Air Max 270 Essential,149.99
6,Nike Air Zoom Pegasus 38,119.99
7,Nike Revolution 5,54.99
8,Nike Air Force 1 '07,99.99
9,Nike Air Force 1 '07,99.99
10,Nike Air Zoom Pegasus 38 FlyEase,119.99
11,Nike Air Max Bella TR 4 Premium,84.99
12,Nike Revolution 5 PRM,59.99
13,Nike Downshifter 11,59.99
14,Nike AF1 Pixel,109.99
15,Nike Air Force 1 Shadow,109.99
16,Air Jordan 1 Mid,119.99
17,Nike React Infinity Run Flyknit 2,159.99
18,Nike Legend Essential 2,59.99
19,Nike Air Force 1 Shadow,109.99
20,Nike Air Force 1 LXX,109.99
21,Nike Waffle One By You,129.99
22,Nike Air Max 90,139.99
23,Nike SB Zoom Verona Slip,74.99
24,Nike Air Max 90,139.99
25,Nike Air Max 95,179.99
26,Nike SB Zoom Verona Slip,74.99
27,Nike Air Max III,149.99
28,Nike Waffle One,99.99
29,NikeCourt Vapor Lite,69.99
30,NikeCourt Vapor Lite,69.99
31,KD Trey 5 IX,99.99
32,Nike Air Zoom Infinity Tour,199.99
33,KD Trey 5 IX,99.99
34,Nike Victory G Lite,79.99
35,Nike Premier 2 Sala IC,79.99
36,Nike Romaleos 4,199.99
37,Nike Air Max 90 G,139.99
38,Nike Metcon 6,129.99
39,Nike React Metcon Turbo,149.99
40,Nike Savaleos,119.99
41,Nike Savaleos,119.99
42,Nike Metcon 6,129.99
43,Nike Air Zoom Tempo NEXT%,199.99
44,Nike Ace Summerlite,99.99
45,Nike Air Zoom Pegasus 38 By You,149.99
46,Nike Air Zoom Victory Tour 2,219.99
47,Nike SB Zoom Blazer Mid Premium,109.99
48,Nike Air Max 90,139.99
49,Nike Air Max 95,179.99
50,Nike SB Zoom Verona Slip,74.99
51,Nike Air Max III,149.99
52,Nike Waffle One,99.99
53,NikeCourt Vapor Lite,69.99
54,NikeCourt Vapor Lite,69.99
55,KD Trey 5 IX,99.99
56,Nike Air Zoom Infinity Tour,199.99
57,KD Trey 5 IX,99.99
58,Nike Victory G Lite,79.99
59,Nike Premier 2 Sala IC,79.99
60,Nike Romaleos 4,199.99
61,Nike Air Max 90 G,139.99
62,Nike Metcon 6,129.99
63,Nike React Metcon Turbo,149.99
64,Nike Savaleos,119.99
65,Nike Savaleos,119.99
66,Nike Metcon 6,129.99
67,Nike Air Zoom Tempo NEXT%,199.99
68,Nike Ace Summerlite,99.99
69,Nike Air Zoom Pegasus 38 By You,149.99
70,Nike Air Zoom Victory Tour 2,219.99
71,Nike SB Zoom Blazer Mid Premium,109.99
72,Nike Air Zoom Victory Tour 2,219.99
73,Nike Cosmic Unity,149.99
74,Nike Victory G Lite,79.99
75,Air Jordan 1 Low,109.99
76,Nike Revolution 5,54.99
77,Nike Air Zoom SuperRep 2,119.99
78,Nike SuperRep Go 2,99.99
79,Nike Ace Summerlite,99.99
80,Nike Ace Summerlite,99.99
81,Jordan Delta 2,129.99
82,Nike Mercurial Vapor 14 Academy FG/MG,79.99
83,Nike Mercurial Superfly 8 Academy AG,89.99
84,Nike Mercurial Vapor 14 Academy IC,79.99
85,Nike Mercurial Superfly 8 Academy TF,89.99
86,Nike Mercurial Superfly 8 Academy IC,89.99
87,Nike Mercurial Superfly 8 Academy MG,89.99
88,Nike Mercurial Vapor 14 Pro FG,139.99
89,Nike Mercurial Vapor 14 Pro TF,119.99
90,Nike Mercurial Vapor 14 Elite AG,249.99
91,Nike Mercurial Vapor 14 Academy TF,79.99
92,Nike Air Force 1 Pixel,109.99
93,Nike Air Zoom Tempo NEXT% FlyEase,199.99
94,Nike Air Max 90,139.99
95,Nike Space Hippie 04,139.99
96,Nike Air Force 1 '07 Premium,119.99
97,Nike React Tiempo Legend 8 Pro IC,109.99
98,Nike Metcon 6,129.99
99,Nike Vapor Edge Pro 360 By You,139.9
100,Nike Air Max Viva,129.99
101,Nike Alpha Huarache Elite 3 Mid By You,124.9
102,Nike SuperRep Go 2,99.99
103,Nike Victori One,24.99
104,Nike Air Force 1/1 Unlocked By You,199.9
105,Nike SuperRep Groove,109.99
106,Nike React Metcon Turbo,149.99
107,Nike Air Max 90 Unlocked By You,169.99
108,Nike Air Zoom Pulse,119.99
109,Nike Flex Experience Run 10,64.99
110,NikeCourt Vapor Lite,69.99
111,Nike Blazer Mid '77 SE,99.99
112,Zoom Freak 2 « Play for the Future »,119.99
113,Nike Air Zoom Winflo 6,99.99
114,Nike Air Force 1 High By You,139.9
115,Nike Crater Impact,109.99
116,Nike Downshifter 11,59.99
117,Nike Phantom GT Academy MG,79.99
118,Nike Air Zoom Vomero 14,140.0
119,NikeCourt Air Zoom GP Turbo,139.99
120,Nike Zoom Double Stacked,229.99
121,Nike Free RN 5.0,110.0
122,Nike SB Charge Suede,59.99
123,Nike Mercurial Superfly 8 Academy By You,109.9
124,Nike SB Zoom Blazer Low Pro GT,79.99
125,Nike Air Zoom Tempo NEXT%,199.99
126,Nike Pegasus Trail 2,129.99
127,Nike ZoomX SuperRep Surge,129.99
128,Nike Air Max 95 Essential,169.99
129,Nike Phantom GT Elite Dynamic Fit 3D FG,289.99
130,Nike React Miler 2,129.99
131,Nike Tiempo Legend 8 Pro FG,129.99
132,Nike Victori One,29.99
133,Nike Alpha Huarache Elite 3 Low By You,119.9
134,Nike Zoom Rize 2 By You,159.9
135,Nike Victori One,34.99
136,Nike Blazer Mid '77,109.99
137,Nike Tiempo Legend 8 Pro TF,109.99
138,Kyrie 7 By You,149.9
139,Nike ZoomX Vaporfly Next% 2,249.99
140,Nike Phantom GT Elite By You,269.9
141,Nike Air Zoom Alphafly NEXT%,299.99
142,Nike Air Force 1 Crater FlyKnit,109.99
143,Nike Mercurial Dream Speed Superfly 8 Elite FG,289.99
144,Nike Phantom GT Elite By You,269.9
145,Nike Mercurial Superfly 8 Elite By You,289.9
146,Nike Court Royale 2 Mid,69.99
147,Nike Air Force 1 Shadow,109.99
